id,created_at,channel,language,requester_type,subject,body,assigned_queue
T-0001,2026-04-08T08:12:00Z,email,nl,internal,"Kan niet inloggen op laptop na wachtwoord reset","Sinds vanochtend kan ik niet meer inloggen. MFA lijkt te hangen. Krijg foutcode AADSTS50076.",Q_IT_SERVICE_DESK
T-0002,2026-04-08T08:19:00Z,email,nl,internal,"VPN valt steeds weg na 2 minuten","AnyConnect verbreekt de tunnel. Op Wi‑Fi thuis. Kunnen jullie checken of mijn account/cert goed staat?",Q_IT_SERVICE_DESK
T-0003,2026-04-08T08:33:00Z,portal,nl,internal,"Outlook Copilot knop ontbreekt","In Outlook zie ik geen Copilot. Ik heb wel M365 licentie volgens mij. Waar kan ik dit aanzetten?",Q_IT_SERVICE_DESK
T-0004,2026-04-08T08:41:00Z,email,en,internal,"GitHub Copilot: extension says 'Not authorized'","VS Code Copilot extension shows not authorized. I can sign in to GitHub. Do I have a seat?",Q_IT_SERVICE_DESK
T-0005,2026-04-08T09:05:00Z,email,nl,internal,"Printer doet het niet op 3e verdieping","Ik krijg 'printer offline' bij HP-Laser-3F. Kunnen jullie de queue resetten?",Q_IT_SERVICE_DESK
T-0006,2026-04-08T09:22:00Z,email,nl,internal,"Wi‑Fi 'CorpNet' connectie faalt","Laptop vraagt steeds opnieuw om wachtwoord. Andere collega’s hebben het ook.",Q_IT_SERVICE_DESK
T-0007,2026-04-08T09:48:00Z,portal,nl,internal,"Nieuwe medewerker: onboarding toegang","Ik start maandag. Ik heb nog geen toegang tot HR portal en geen Teams account.",Q_IT_SERVICE_DESK
T-0008,2026-04-08T10:03:00Z,email,nl,internal,"Factuur vraag (inkoop)","Kunnen jullie factuur INV-48392 op kostenplaats 4103 zetten? Mijn manager is cc.",Q_IT_SERVICE_DESK
T-0009,2026-04-08T10:15:00Z,email,en,internal,"Laptop is very slow after last update","After Windows update, Teams and Outlook are extremely slow. Fans are loud.",Q_IT_SERVICE_DESK
T-0010,2026-04-08T10:29:00Z,email,nl,internal,"Copilot in Teams: samenvatten meeting lukt niet","Copilot geeft 'policy blocked'. Is dit een instelling? Meeting was met externen.",Q_IT_SERVICE_DESK
T-0011,2026-04-09T07:58:00Z,email,nl,internal,"Wachtwoord reset werkt niet (MFA)","Reset gedaan maar MFA app vraagt steeds om nieuwe registratie. Telefoonnummer 0612345678.",Q_IT_SERVICE_DESK
T-0012,2026-04-09T08:10:00Z,email,nl,internal,"VPN: certificate expired","Krijg melding 'certificate expired' bij verbinden. Kan iemand dit vernieuwen?",Q_IT_SERVICE_DESK
T-0013,2026-04-09T08:26:00Z,email,nl,internal,"GitHub Copilot seat aanvragen","Ik wil Copilot for GitHub gebruiken voor unit tests. Heb ik training nodig?",Q_DEVELOPER_EXPERIENCE
T-0014,2026-04-09T08:40:00Z,portal,nl,internal,"Software install: Postman","Kan Postman geïnstalleerd worden via Company Portal? Ik heb geen admin rights.",Q_IT_SERVICE_DESK
T-0015,2026-04-09T08:57:00Z,email,en,internal,"M365 Copilot: does it work with sensitive docs?","We have confidential documents. Is Copilot allowed? Any guidance/policy?",Q_IT_SERVICE_DESK
T-0016,2026-04-09T09:14:00Z,email,nl,internal,"Printer scant niet naar mail","Scan-to-email faalt met SMTP error. Printer: Canon-2F.",Q_IT_SERVICE_DESK
T-0017,2026-04-09T09:27:00Z,email,nl,internal,"Toegang tot SharePoint site ontbreekt","Ik krijg 'access denied' op Project-X site. Kunnen jullie rechten toevoegen?",Q_IT_SERVICE_DESK
T-0018,2026-04-09T09:55:00Z,portal,nl,internal,"Teams kan niet aanmelden","Teams blijft op 'loading' hangen. Cache al geleegd.",Q_IT_SERVICE_DESK
T-0019,2026-04-09T10:11:00Z,email,nl,internal,"HR vraag: verlof saldo klopt niet","Mijn verlofuren zijn ineens 0. Kunnen jullie dit corrigeren?",Q_IT_SERVICE_DESK
T-0020,2026-04-09T10:34:00Z,email,nl,internal,"Wi‑Fi: DNS issues","Soms kan ik intranet niet openen. nslookup faalt. Op kantoor.",Q_IT_SERVICE_DESK
T-0021,2026-04-10T08:06:00Z,email,nl,internal,"Copilot Outlook: wil automatisch antwoord voor verkeerd loket","Kunnen we mails die bij HR horen automatisch beantwoorden met doorverwijzing?",Q_M365
T-0022,2026-04-10T08:21:00Z,portal,en,internal,"GitHub Copilot usage: license revoked?","Copilot stopped working. It says 'no subscription'. I used it last week.",Q_DEVELOPER_EXPERIENCE
T-0023,2026-04-10T08:44:00Z,email,nl,internal,"Onboarding: geen laptop ontvangen","Ik start morgen, maar heb nog geen laptop of badge. Wie regelt dit?",Q_IT_SERVICE_DESK
T-0024,2026-04-10T09:03:00Z,email,nl,internal,"Factuur: leverancier vraagt betalingstermijn","Leverancier mailt dat factuur te laat is betaald. Kunnen jullie finance benaderen?",Q_IT_SERVICE_DESK
T-0025,2026-04-10T09:25:00Z,email,nl,internal,"VPN: split tunnel werkt niet","Na verbinden kan ik geen interne sites openen. Alleen internet werkt.",Q_NETWORK
T-0026,2026-04-10T09:47:00Z,email,nl,internal,"Laptop: docking station detecteert monitor niet","Na sleep wordt mijn externe monitor niet meer herkend. Kabels al gewisseld.",Q_WORKPLACE
